Student ID,Final Exam [100.0],Homework [200.0],Midterm [100.0],Quiz [45.0],Course Average [100.0]
FMPJK,90,200,92,45,95.4
FNYAR,77.5,199.2,76,45,88.394
FOGBS,70,196.1,84,43,85.927
FOWZW,67.5,197.6,88,42,85.282
FPMYH,87.5,200,88,45,93.85
FQAMT,60,181.3,76,31,70.691
FQJAH,65,198,72,38,78.16
FSQCC,80,189.6,96,37,86.072
FWAGX,87.5,200,96,40,91.45
FXQFV,75,195.5,76,38,81.785
FYCLW,70,187,72,36,77.29
FYKUN,77.5,133.6,76,26,68.602
FYKXJ,62.5,196.5,80,40,80.505
FYSGH,72.5,194.6,80,42,84.972
FYZMZ,72.5,195,84,43,86.6
FZEMT,75,181.2,68,33,75.184
FZLRB,57.5,197,64,43,78.24
GBNCM,55,198.6,56,39,72.802
GBPJU,65,183.8,84,38,79.566
GBZGQ,75,196,68,31,74.62
GDSXU,62.5,176.5,52,30,65.505
GELZZ,87.5,196.6,84,33,83.212
GGFNZ,42.5,35.7,72,30,53.649
GGUIF,60,188.7,76,44,81.609
GIEDJ,70,186.3,72,38,78.841
GJGFF,70,200,88,45,88.6
GJJHG,62.5,200,80,40,80.75
GKENC,80,196,80,38,84.12
GKNXS,80,196,60,42,83.32
GOEWX,82.5,197,84,42,88.94
GORKX,90,192.6,76,40,87.682
GTORJ,62.5,197,52,34,70.14
GVAIE,75,196,76,39,82.62
GWAOV,65,194,88,40,82.68
GYQZR,80,200,92,44,91.6
GZTUM,57.5,138.3,44,30,59.731
HAHBF,70,198.6,64,38,78.102
HBTSX,35,115.1,52,22,46.557
HBYQC,82.5,200,80,44,89.95
HCLNI,55,200,52,39,72.1
HDVCL,70,200,80,43,85.4
HEGMW,75,200,64,43,83.7
HEOBJ,72.5,198.6,80,44,86.852
HFGQX,65,193.4,80,43,83.438
HHPGK,55,200,80,42,80.1
HIUTV,82.5,198.7,72,44,88.259
HKXYW,82.5,195,84,44,90.4
HLWAJ,55,199,76,41,78.43
HLXTY,75,185.3,72,35,77.871
HLZTM,92.5,200,88,45,95.35
HNNXE,77.5,192.8,60,38,79.146
HQWDU,77.5,200,76,33,78.85
HSEPR,65,173,64,33,70.81
HSNJR,77.5,200,84,45,90.05
HUCYC,67.5,195.7,64,35,74.749
HUEUI,100,200,84,45,96.8
HUHEU,52.5,167.1,56,32,64.247
HVOGH,77.5,200,92,43,90.05
HWVIM,80,197.6,76,42,86.632
HXNDU,62.5,161.4,48,31,64.448
HYAET,60,193,60,37,73.11
HYXDY,45,100.3,52,27,52.521
IFQVS,67.5,192.5,80,42,83.325
IGNLD,75,196.1,76,37,81.027
IHHQU,50,199,60,41,73.73
IKJNQ,77.5,193.8,80,41,85.616
IKSJE,57.5,193.2,68,37,73.974
INDKH,52.5,195,68,36,71.8
INIGM,57.5,200,64,33,70.45
INOUP,70,190.5,68,38,78.335
IQHVF,60,191.6,72,36,74.612
IQPPI,75,191.5,72,44,85.505
ISCWI,27.5,195,68,31,60.3
IVCQN,72.5,197,80,40,83.54
IWZJN,65,189.5,52,37,72.765
IYAAR,67.5,196,64,41,79.57
IYTOO,65,193.2,64,37,75.424
JANZE,67.5,195.3,56,37,74.721
JDOKF,72.5,191.2,68,35,76.734
JDOKV,92.5,200,88,44,94.55
JEDEK,77.5,191,48,42,79.82
JELWE,82.5,198,80,45,90.61
JHXWT,75,163.5,68,28,69.945
JHZGJ,57.5,129.1,60,19,53.487
JKYAG,82.5,199,80,42,88.28
JNGCF,92.5,200,88,45,95.35
JOMCA,50,197,76,36,72.79
JPMTG,80,198.2,80,44,89.074
JQSOV,75,197.7,72,43,85.139
JRLHO,65,194,60,39,76.28
JUDQW,62.5,156.2,68,28,65.684
JUXRU,77.5,196,64,38,80.17
JVLNJ,85,196,88,44,92.02
JZMPG,67.5,197,84,43,85.24
KBGWO,50,146.4,76,37,70.048
KCGDR,82.5,184.6,76,39,84.072
KCPYC,80,200,92,44,91.6
KDSSR,85,133.7,80,35,78.859
KDUMI,67.5,59.5,88,26,62.815
KEMKP,72.5,198.6,72,43,84.452
KGOKR,92.5,195.6,84,42,91.842
KHDZK,87.5,199,84,39,88.18
KHKNR,77.5,200,84,45,90.05
KHWNU,90,198,96,42,93.66
KJKRW,97.5,199,100,44,98.38
KKXVA,57.5,177,80,38,76.04
KLBNG,72.5,187.9,92,41,86.103
KLXHV,80,196,68,40,83.32
KNPCJ,67.5,197,72,38,78.84
KNUTA,82.5,196.2,68,41,84.884
KNYBA,62.5,199,64,39,76.68
KOQNW,72.5,198.5,72,41,82.845
KPYTS,77.5,183.8,80,39,83.316
KSYNI,82.5,198,80,42,88.21
KSZCP,65,200,72,42,81.5
KSZCR,82.5,200,80,45,90.75
KTQLY,37.5,139.1,48,28,52.987
KWCIG,75,195.6,68,37,79.392
KWIER,77.5,189.3,68,30,74.101
KWPZB,67.5,194.2,68,43,81.844
KXGUB,67.5,187.7,76,41,81.389
KYGIT,85,186,76,43,88.12
KYQLZ,77.5,194.5,72,41,84.065
KYQUA,77.5,198,76,36,81.11
LEJBN,75,197,80,42,85.89
LGEMW,67.5,196.7,80,43,84.419
LGGBP,72.5,192.7,76,44,85.639
LHBHZ,57.5,198,60,39,74.31
LHCRZ,92.5,200,80,45,93.75
LHIIL,82.5,200,84,43,89.95
LIYMZ,70,194.5,60,39,77.815
LJGTF,70,188.5,76,43,83.795
LKMHB,90,200,88,43,93
LKOPC,82.5,200,88,44,91.55
LKRFL,85,195,92,42,91.15
LLPDN,75,200,80,41,85.3
LLREC,67.5,200,64,43,81.45
LNTYQ,45,200,48,37,66.7
LPZPX,62.5,200,68,41,79.15
LQXAZ,37.5,40,44,0,22.85
LTHYY,62.5,193.2,72,41,79.474
LYYUL,45,197,52,34,64.89
MBANV,65,200,64,42,79.9
MBBXA,85,197,92,43,92.09
MERKO,82.5,200,72,40,85.15
MEWJD,60,84.1,88,26,62.287
MFCLM,62.5,200,80,40,80.75
MGIFS,82.5,196,84,40,87.27
MGYAC,85,200,100,42,93.1
MIIKK,82.5,198,92,43,91.41
MKJHH,65,193.4,68,39,77.838
MLSDG,67.5,199,72,38,78.98
MMILT,70,197,84,41,84.39
MNOKA,52.5,198.7,56,39,72.059
MNZCH,60,197,72,38,76.59
MOAQN,67.5,200,84,44,86.25
MOWDI,82.5,198.7,76,41,86.659
MRGCC,72.5,167.8,80,35,77.496
MTBQR,70,197,68,41,81.19
MULPJ,67.5,200,68,42,81.45
MVBVR,57.5,200,60,40,75.25
MVHOI,55,182.2,64,39,73.254
MVJXR,90,200,64,40,85.8
MVZPT,67.5,184.1,56,34,71.537
MWOWH,47.5,180.2,60,35,66.864
MXHMM,95,199,76,41,90.43
MXITT,65,176.7,84,28,71.069
NALII,87.5,200,68,44,89.05
NETGJ,85,198.7,96,43,93.009
NEVKB,62.5,196.5,64,39,76.505
NFXXN,92.5,192.1,80,40,89.197
NGUSQ,82.5,198,88,44,91.41
NISYK,90,196.1,88,43,92.727
NJBBN,82.5,196.7,76,39,84.919
NJGBQ,82.5,190,88,42,89.25
NKKPW,70,178,56,34,71.86
NKYSD,82.5,200,88,45,92.35
NNGWA,80,198,72,41,85.06
NOQAU,82.5,200,68,43,86.75
NPQGE,65,200,76,42,82.3
NRTVR,70,199,72,44,84.53
NSKKX,72.5,199,84,42,86.08
NTEOA,57.5,186.7,72,39,75.919
NVXMA,72.5,173.7,88,32,77.109
NWPAD,80,189.7,68,26,71.679
NXKVB,85,190,88,43,90.8
NYHAC,70,200,84,44,87
OBSTY,67.5,174.8,84,30,73.286
OBTDY,95,200,88,34,87.3
OFTIZ,87.5,200,80,42,89.85
OFXBB,85,200,76,41,87.5
OGGDL,80,199,68,42,85.13
OIPDG,42.5,187.9,64,38,69.103
OJPGD,70,199,72,41,82.13
OKCNL,65,181.8,44,28,63.426
OKFJB,67.5,200,68,42,81.45
ONKHV,72.5,199,76,42,84.48
OOOTH,57.5,170.7,68,33,69.199
OPMDK,90,199.7,64,39,84.979
OQOTG,67.5,194,72,38,78.63
PCARI,90,199,96,43,94.53
PDICW,50,185.4,48,26,58.378
PDXGY,85,198,72,38,84.16
PGIKF,70,196,80,39,81.92
PGSJA,55,195.2,64,38,73.364
PHGOR,62.5,200,64,40,77.55
PIIBH,97.5,200,92,44,96.85
PIPAY,77.5,200,80,44,88.45
PKYZK,67.5,189.5,64,37,75.915
PMLAV,65,139.6,60,32,66.872
PNSKO,70,195.9,84,41,84.313
POIRY,42.5,194,52,27,58.33
POPWV,60,187.1,92,38,79.897
PPOMB,80,197.3,80,41,86.611
PRCQV,77.5,197.5,80,41,85.875
PRUZO,52.5,194,76,35,72.53
PRVEP,65,196.6,60,43,79.662
PWEMG,82.5,199.2,96,45,93.894
PWNII,87.5,195,92,41,91.1
PXJAG,85,195,80,44,90.35
PZJLS,80,200,68,40,83.6
PZMZS,90,200,92,45,95.4
QBDKJ,90,200,92,41,92.2
QCGMF,77.5,192.8,76,42,85.546
QCSSM,42.5,181.5,60,36,66.255
QCYJY,80,200,80,42,87.6
QDFUJ,85,198.3,84,44,91.381
QEVZR,82.5,199,88,41,89.08
QGPWN,62.5,196.4,88,38,80.498
QHUZI,90,199,76,43,90.53
QJVGB,0,63.7,48,14,25.259
QLSBD,90,199,84,45,93.73
QMCAQ,80,200,80,44,89.2
QMQCA,85,151.5,92,34,81.705
QPRDG,67.5,198.6,60,42,79.752
QRZIJ,57.5,186.5,80,40,78.305
QSGYF,0,9,0,8,7.03
QSOEB,70,198.6,68,39,79.702
QSORC,95,191,88,42,93.07
QTCTH,85,196,84,42,89.62
QUNEB,62.5,194,64,40,77.13
QUTMO,77.5,189.9,68,37,79.743
QVRJW,77.5,198,84,31,78.71
QWESW,70,125,76,34,72.15
QWUEW,62.5,194,76,42,81.13
QWXPH,72.5,197,80,44,86.74
QXNRQ,72.5,194.5,56,41,79.365
QXWAS,75,199,72,43,85.23
QXYAB,82.5,197,88,40,88.14
QZQYA,57.5,176.7,68,35,71.219
RAKXO,82.5,196.7,56,35,77.719
RAUSP,82.5,196.7,76,43,88.119
RAVFE,72.5,182.3,64,41,80.111
RBZVB,77.5,198,72,42,85.11
RDMVK,90,200,84,45,93.8
RDPCJ,75,198,84,43,87.56
REWNK,75,200,88,44,89.3
RILKY,75,164.6,80,41,82.822
RLAJL,72.5,173.1,68,36,76.267
RNBUY,80,198,68,44,86.66
RRCPH,80,200,84,44,90
RRLWS,82.5,164.2,60,36,77.044
RRQQC,80,199,84,34,81.93
RSMOH,60,186.8,76,38,76.676
RTGDN,67.5,200,76,36,78.25
RUMOL,87.5,199,84,44,92.18
RWYIT,60,158.2,76,41,77.074
RZIPE,77.5,194,84,42,87.23
RZLVR,72.5,199,76,41,83.68
RZMQK,77.5,200,68,40,82.85
RZVZG,60,196.6,88,40,81.362
SBVLQ,55,191,64,35,70.67
SBZUC,80,197,88,42,88.99
SEYJC,77.5,200,84,45,90.05
SFOHO,85,200,76,44,89.9
SGMUZ,70,198,84,40,83.66
SGOWO,75,187.6,84,42,86.032
SGWJN,77.5,197.7,72,42,85.089
SJWWQ,75,174.3,68,39,79.501
SLMYM,55,183.1,52,33,66.117
SLRFG,57.5,196,68,38,74.97
SLVBH,92.5,195.1,64,40,86.207
SMFJT,45,195,40,37,64.75
SMPKT,72.5,200,72,40,82.15
SOJBX,67.5,188.6,64,34,73.452
SSOGM,80,154.1,68,40,80.387
SSPFE,72.5,199,64,45,84.48
STVWF,60,181.4,76,35,73.898
SUKNF,77.5,200,72,42,85.25
SUNJL,70,196,68,38,78.72
SVDWG,57.5,191.6,48,38,70.662
SVKTX,65,200,68,44,82.3
SVTDA,77.5,199,80,43,87.58
SWEQW,67.5,181.1,80,33,75.327
SWFIR,62.5,197,56,40,75.74
SWZFP,75,194.2,88,39,84.894
SXENN,77.5,190,68,38,80.55
SXKFU,65,186.9,76,36,76.583
SZBYC,70,192.5,60,42,80.075
TAHFW,35,197.5,52,31,59.525
TBEBN,62.5,196,68,41,78.87
TBMYV,60,137.2,60,33,66.004
TCUHD,65,196.2,68,34,74.034
TCZVO,77.5,198,68,42,84.31
TGJLI,90,196,88,43,92.72
TGLZQ,70,195.9,60,38,77.113
THAHJ,75,200,88,40,86.1
THIUC,77.5,193.1,80,44,87.967
TJBPM,75,200,76,44,86.9
TJNEZ,80,200,80,41,86.8
TKSTY,62.5,200,72,35,75.15
TLKKE,72.5,195.5,76,41,83.435
TLQOV,57.5,184.1,64,31,67.737
TNIWX,67.5,148.4,84,31,72.238
TPBHH,82.5,191.8,76,39,84.576
TQNWN,70,191.5,88,41,84.805
TREHZ,72.5,194.9,84,44,87.393
TRLKR,70,199,72,41,82.13
TVKOR,50,197.4,56,31,64.818
TWCDS,60,127.2,56,24,57.304
TWRAR,77.5,196,80,40,84.97
TXQWG,45,192.3,40,39,66.161
TZCJH,70,197.5,68,42,82.025
TZRBV,0,171.5,48,36,50.405
UAKPH,97.5,200,88,43,95.25
UBIJE,72.5,200,84,43,86.95
UCTBQ,77.5,200,76,40,84.45
UDPEE,80,199,76,41,85.93
UEESL,62.5,198.1,80,41,81.417
UETFU,62.5,182.4,72,38,76.318
UFAAK,72.5,190.7,76,35,78.299
UFVVQ,82.5,198.6,64,40,83.452
UGVRB,60,199,84,41,81.53
UIVYN,35,144.3,40,25,48.601
UIWYZ,67.5,185.6,76,37,78.042
UKIHR,87.5,192,76,37,84.49
ULDZE,80,193.2,76,40,84.724
UQJYN,67.5,200,80,44,85.45
USDTR,75,190.8,68,35,77.456
USGAM,65,200,84,38,80.7
USSMY,67.5,194.5,76,37,78.665
UTGHR,77.5,199,76,42,85.98
UTREY,77.5,188.1,84,37,82.817
UUGAG,75,196,92,42,88.22
UUKRB,92.5,200,64,43,88.95
UWONS,55,192.3,60,38,72.361
UWWPY,55,199,68,38,74.43
UXUYJ,62.5,196.2,76,36,76.484
VAAZS,72.5,200,64,40,80.55
VATDV,72.5,200,76,41,83.75
VDNFW,72.5,194.6,88,40,84.972
VEYCW,65,197.7,72,40,79.739
VFUDU,60,196.3,68,35,73.341
VHQGB,67.5,189,64,41,79.08
VIBUX,77.5,200,80,41,86.05
VIRZB,82.5,197.7,68,44,87.389
VKDFW,82.5,199,76,45,89.88
VLSJZ,50,162.2,64,35,67.154
VMGRP,70,197,80,38,81.19
VNIUM,90,200,80,44,92.2
VNXFB,70,189.8,80,37,79.886
VPWIV,45,115,72,28,58.35
VQTAO,70,195,64,38,77.85
VSARV,67.5,193.8,68,34,74.616
VSJVU,75,195.7,64,42,82.599
VTNTJ,62.5,196,84,40,81.27
VUKZW,87.5,200,96,41,92.25
VVOFH,72.5,194,64,38,78.53
VVQKJ,55,173.8,52,32,64.666
VXYCR,67.5,200,84,43,85.45
VZVAG,87.5,199,64,45,88.98
WAABO,70,197,68,41,81.19
WABHD,55,195,60,37,71.75
WAKVR,75,184.5,64,38,78.615
WBODW,35,179.4,52,30,57.458
WBOHM,67.5,195,68,40,79.5
WFCMX,80,198,84,43,89.06
WFESH,75,166.1,76,34,76.527
WHVBL,75,200,92,42,88.5
WIWEP,75,198.3,88,42,87.581
WLAAP,70,200,76,42,83.8
WOGFN,67.5,196.5,84,36,79.605
WOWXD,85,200,72,41,86.7
WQHKF,45,76.7,60,21,47.669
WSIGX,70,136.3,84,40,79.341
WSQKW,95,199,84,39,90.43
WTWVZ,90,197,60,43,87.19
WVBFI,62.5,174.1,72,30,69.337
WVLSU,90,200,100,44,96.2
WVLYK,72.5,192.7,80,36,80.039
WVNJA,60,199,60,38,74.33
WWXQA,72.5,199,88,43,87.68
WYBWR,80,193,72,32,77.51
WZBAT,77.5,198,88,40,86.71
WZPWF,90,193.7,76,41,88.559
XDKDF,0,43,56,15,26.21
XDWUQ,72.5,179.5,72,38,79.115
XGDWP,72.5,194.1,84,35,80.137
XGIXI,85,200,76,45,90.7
XKNKW,75,194,80,43,86.48
XLUZT,85,198,72,42,87.36
XNHVD,82.5,196.2,64,45,87.284
XQAID,75,199,92,40,86.83
XQPUN,75,192.7,68,41,82.389
XQRRP,77.5,186.8,80,32,77.926
XSBDJ,67.5,199,72,38,78.98
XSGHS,75,181.2,76,33,76.784
XVNYO,70,190.3,72,37,78.321
XXKIR,85,200,68,39,84.3
XYKXT,67.5,200,76,42,83.05
YALKN,80,194.3,76,39,84.001
YGLHS,55,200,88,41,80.9
YHAWE,72.5,198,60,40,79.61
YMKLB,95,186.3,92,30,83.941
YMQXQ,85,200,88,44,92.3
YNTVF,75,192,80,43,86.34
YRDKT,67.5,200,68,42,81.45
YRQXG,70,197.7,64,35,75.639
YTZVL,80,196,80,45,89.72
YUHBC,67.5,195.6,64,38,77.142
YYSFK,72.5,191.5,72,43,83.955
YZKKY,55,194.3,60,38,72.501
YZXMR,57.5,196,72,39,76.57
ZAGDV,82.5,200,60,41,83.55
ZBTLX,75,199,80,38,82.83
ZEVSS,85,195.5,80,42,88.785
ZHNOK,77.5,200,72,40,83.65
ZHQAG,75,200,80,40,84.5
ZIDKJ,57.5,178.9,68,39,74.573
ZLRLU,57.5,196.7,68,35,72.619
ZMBNG,82.5,198,84,44,90.61
ZMERR,45,192.3,64,37,69.361
ZMULS,60,194.3,80,37,77.201
ZMUWI,65,199,60,39,76.63
ZNNMT,52.5,192.4,48,29,62.018
ZOALH,77.5,191,80,42,86.22
ZOTZV,85,197,72,43,88.09
ZPOPJ,70,165,84,40,81.35
ZQAZL,65,197,80,42,82.89
ZRNDS,62.5,194,68,44,81.13
ZVLYI,75,198,76,36,80.36
ZWKIG,77.5,200,84,34,81.25
ZYIMF,85,198,88,42,90.56
